time	V(n001)	V(n002)
0.000000000000000e+000	0.000000e+000	0.000000e+000
8.664515812548608e-008	4.332258e-001	1.436140e-005
1.732903162509722e-007	8.664516e-001	5.100926e-005
2.599354743764582e-007	1.299677e+000	1.099436e-004
3.465806325019443e-007	1.732903e+000	1.911644e-004
4.332257906274304e-007	2.166129e+000	2.946716e-004
5.198709487529164e-007	2.599355e+000	4.204653e-004
6.065161068784023e-007	3.032581e+000	5.685455e-004
1.000000000000000e-006	5.000000e+000	1.388624e-003
2.401880774761348e-005	5.000000e+000	6.477375e-002
4.703761549522695e-005	5.000000e+000	1.272007e-001
7.005642324284041e-005	5.000000e+000	1.886696e-001
9.307523099045390e-005	5.000000e+000	2.491802e-001
1.160940387380674e-004	5.000000e+000	3.087327e-001
1.391128464856808e-004	5.000000e+000	3.673271e-001
1.621316542332943e-004	5.000000e+000	4.249633e-001
3.233026568559007e-004	5.000000e+000	8.050604e-001
6.456446621011134e-004	5.000000e+000	1.455840e+000
1.290328672591539e-003	5.000000e+000	2.484763e+000
1.967499401114947e-003	5.000000e+000	3.260869e+000
2.878116278543051e-003	5.000000e+000	3.939781e+000
3.821123964562993e-003	5.000000e+000	4.375947e+000
4.821123964562994e-003	5.000000e+000	4.645160e+000
5.821123964562994e-003	5.000000e+000	4.799438e+000
6.821123964562994e-003	5.000000e+000	4.891094e+000
7.250999999999999e-003	5.000000e+000	4.917286e+000
7.391247929125990e-003	5.000000e+000	4.923653e+000
7.726537275732163e-003	5.000000e+000	4.936821e+000
7.801460522056140e-003	5.000000e+000	4.939385e+000
7.876383768380117e-003	5.000000e+000	4.941855e+000
7.951307014704093e-003	5.000000e+000	4.944231e+000
8.026230261028070e-003	5.000000e+000	4.946514e+000
8.101153507352046e-003	5.000000e+000	4.948704e+000
8.176076753676024e-003	5.000000e+000	4.950800e+000
8.251000000000000e-003	5.000000e+000	4.952803e+000
8.252000000000001e-003	0.000000e+000	4.951427e+000
8.345617142857399e-003	0.000000e+000	4.703697e+000
8.439234285714798e-003	0.000000e+000	4.469025e+000
8.532851428572196e-003	0.000000e+000	4.247409e+000
8.626468571429596e-003	0.000000e+000	4.038850e+000
8.720085714286995e-003	0.000000e+000	3.843349e+000
8.813702857144393e-003	0.000000e+000	3.660904e+000
8.907320000001792e-003	0.000000e+000	3.491516e+000
9.562680000003584e-003	0.000000e+000	2.473993e+000
1.034580737154956e-002	0.000000e+000	1.599768e+000
1.106309279965647e-002	0.000000e+000	1.061685e+000
1.174898682637240e-002	0.000000e+000	7.199664e-001
1.242210877218765e-002	0.000000e+000	4.931267e-001
1.311334907712656e-002	0.000000e+000	3.346046e-001
1.380108771393327e-002	0.000000e+000	2.272666e-001
1.449407750779950e-002	0.000000e+000	1.539029e-001
1.518059038027995e-002	0.000000e+000	1.045809e-001
1.531569374762222e-002	0.000000e+000	9.613331e-002
1.545079711496450e-002	0.000000e+000	8.834826e-002
1.558590048230677e-002	0.000000e+000	8.122577e-002
1.572100384964904e-002	0.000000e+000	7.476584e-002
1.585610721699132e-002	0.000000e+000	6.896848e-002
1.599121058433359e-002	0.000000e+000	6.383368e-002
1.612631395167586e-002	0.000000e+000	5.936145e-002
1.630588371005720e-002	0.000000e+000	5.367530e-002
1.650000000000000e-002	0.000000e+000	4.817510e-002
